article,section,claim_summary,classification,source,source_type,review_requirement,proposed_action
"/mpu-kosten/","Introduction","Total MPU-related cost can consist of independent positions","SOURCE_MISSING","No direct fee schedule in current source set","NONE","SOURCE_VERIFICATION; MPU_FACHREVIEW","Add current official/provider sources for each retained category"
"/mpu-kosten/","Introduction","Current prices must be checked with the respective provider","EDITORIAL_ONLY","Currency policy","EDITORIAL","EDITORIAL_REVIEW","Retain"
"/mpu-kosten/","Cost blocks","Authority fees and expenses may apply","SOURCE_MISSING","No current authority fee source recorded","NONE","SOURCE_VERIFICATION","Add jurisdiction-appropriate official source or keep generic and noindex"
"/mpu-kosten/","Cost blocks","Assessment-center remuneration may apply","SUPPORTED_BUT_REVIEW_REQUIRED","FeV §11(6) states investigation at the person's cost; no amount","LEVEL 1","LEGAL_REVIEW; SOURCE_VERIFICATION","Retain category only; no amount"
"/mpu-kosten/","Cost blocks","Labor or abstinence evidence may add cost","SOURCE_MISSING","No current provider/official price source recorded","NONE","SOURCE_VERIFICATION","Add source before approval"
"/mpu-kosten/","Cost blocks","Interpreter/translation cost may apply","SUPPORTED","FeV Anlage 4a no. 4","LEVEL 1","SOURCE_VERIFICATION","Retain; distinguish interpreter from document translation"
"/mpu-kosten/","Cost blocks","Voluntary preparation and travel/document costs may occur","EDITORIAL_ONLY","Ordinary optional expenditures","EDITORIAL","EDITORIAL_REVIEW","Retain only as non-regulated optional categories"
"/mpu-kosten/","Currency rule","Amounts require provider, scope, currency and checked-at date","EDITORIAL_ONLY","Internal source-currency rule","EDITORIAL","EDITORIAL_REVIEW","Adopt as publication rule"
"/mpu-kosten/","FAQ uniform price","There is no single total price for every case","SOURCE_MISSING","No comprehensive current price source recorded","NONE","MPU_FACHREVIEW; SOURCE_VERIFICATION","Qualify as total-cost variability and add sources"
"/mpu-kosten/","FAQ taxonomy","Authority, assessment, evidence and voluntary services have different owners and price dates","SUPPORTED_BUT_REVIEW_REQUIRED","FeV §11; Anlage 4a; source-currency policy","LEVEL 1 + editorial","LEGAL_REVIEW; EDITORIAL_REVIEW","Retain after scope review"
"/alkohol-mpu/","Introduction","Assessment considers occasion, consumption development, risks, reflection and stability of change","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien alcohol; FeV Anlage 4a no. 1(f)","LEVEL 3 + LEVEL 1","MPU_FACHREVIEW","Alcohol/traffic-psychology reviewer verify"
"/alkohol-mpu/","Consumption history","A chronologically plausible reconstruction should address development, situations and underestimated consequences","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien alcohol","LEVEL 3","MPU_FACHREVIEW","Reviewer confirm without turning into coaching script"
"/alkohol-mpu/","Change","Sustainable change can include routines, coping and risk-situation plans","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien alcohol; FeV Anlage 4a no. 1(f)","LEVEL 3 + LEVEL 1","MPU_FACHREVIEW","Reviewer verify breadth and qualification"
"/alkohol-mpu/","Abstinence/controlled use","Abstinence versus controlled use cannot be decided from one value or an internet rule","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a no. 1(f); Beurteilungskriterien alcohol","LEVEL 1 + LEVEL 3","MPU_FACHREVIEW","Retain only after individual-path terminology review"
"/alkohol-mpu/","Evidence","Method, period and formal quality must fit the professional need","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a no. 6; Beurteilungskriterien CTU","LEVEL 1 + LEVEL 3","MPU_FACHREVIEW","CTU reviewer verify; avoid universal periods"
"/alkohol-mpu/","Evidence","An unsuitable or incomplete evidence path may not always be repairable retrospectively","TOO_STRONG","No direct current source recorded","NONE","MPU_FACHREVIEW; SOURCE_VERIFICATION","Qualify or replace with sourced consequence"
"/alkohol-mpu/","FAQ abstinence","Not every alcohol MPU can be assigned an abstinence requirement without case assessment","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a no. 1(f); Beurteilungskriterien alcohol","LEVEL 1 + LEVEL 3","MPU_FACHREVIEW","Alcohol reviewer approve exact scope"
"/alkohol-mpu/","FAQ reduced drinking","A bare assertion of reduced drinking does not demonstrate stable risk-appropriate change","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien alcohol","LEVEL 3","MPU_FACHREVIEW","Reviewer confirm wording"
"/alkohol-mpu/","Source currency","The linked BASt PDF is 2022 while current Anlage 4a cites guidelines in a 12 Dec 2025 version","OUTDATED_RISK","FeV Anlage 4a current text; BASt 2022 PDF","LEVEL 1 + LEVEL 2","SOURCE_VERIFICATION; MPU_FACHREVIEW","Obtain the current official guideline/version before approval"
"/drogen-mpu/","Introduction","Drug-related questions differ by substance, occasion, consumption, files and other findings","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien drugs; FeV Anlage 4a","LEVEL 3 + LEVEL 1","MPU_FACHREVIEW","Drug/traffic-psychology reviewer verify"
"/drogen-mpu/","Files","Substance, time, findings, traffic relation, history and authority question must be distinguished","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien drugs; FeV §11(6)","LEVEL 3 + LEVEL 1","MPU_FACHREVIEW; LEGAL_REVIEW","Confirm fachlich and legal boundary"
"/drogen-mpu/","Change","Review should cover function, triggers, minimization, change, safeguards and relapse prevention","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien drugs","LEVEL 3","MPU_FACHREVIEW","Reviewer verify list and terminology"
"/drogen-mpu/","Labor","Labor findings require controlled conditions and professional contextual evaluation","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a no. 6; Beurteilungskriterien CTU","LEVEL 1 + LEVEL 3","MPU_FACHREVIEW","CTU/toxicology review"
"/drogen-mpu/","Labor","Single values, self-selected waits or unclear programs permit no safe case prognosis","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien drugs and CTU","LEVEL 3","MPU_FACHREVIEW","Reviewer confirm; keep non-prognostic framing"
"/drogen-mpu/","Cannabis","Cannabis questions intersect with current legislation and require current individual assessment","OUTDATED_RISK","Current law not included in article source set","NONE","LEGAL_REVIEW; SOURCE_VERIFICATION; MPU_FACHREVIEW","Add current official cannabis/FeV sources before approval"
"/drogen-mpu/","FAQ structure","Drug MPUs are occasion-specific and may have different emphases","SUPPORTED","FeV Anlage 4a no. 1(a)","LEVEL 1","SOURCE_VERIFICATION","Retain"
"/drogen-mpu/","FAQ quick test","A negative rapid test is not equivalent to formally suitable abstinence evidence","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a no. 6; Beurteilungskriterien CTU","LEVEL 1 + LEVEL 3","MPU_FACHREVIEW","CTU reviewer approve"
"/abstinenznachweis/","Introduction","An abstinence record is not an arbitrary lab test and documents controlled checks","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a no. 6; Beurteilungskriterien CTU","LEVEL 1 + LEVEL 3","MPU_FACHREVIEW","CTU reviewer approve"
"/abstinenznachweis/","Introduction","Need, method and relevant period are individual questions","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien CTU; FeV Anlage 4a","LEVEL 3 + LEVEL 1","MPU_FACHREVIEW","Retain without universal period"
"/abstinenznachweis/","Evidence chain","Hair and urine findings use different sample materials and collection processes","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien CTU","LEVEL 3","MPU_FACHREVIEW","Toxicology reviewer verify"
"/abstinenznachweis/","Evidence chain","Identity, collection, responsible testing body and documentation affect evidence quality","SUPPORTED","FeV Anlage 4a no. 6","LEVEL 1","SOURCE_VERIFICATION; MPU_FACHREVIEW","Retain; fachlich confirm terminology"
"/abstinenznachweis/","Quality","Identity control and documented sampling are quality requirements","SUPPORTED","FeV Anlage 4a no. 6","LEVEL 1","SOURCE_VERIFICATION","Retain"
"/abstinenznachweis/","Quality","The responsible testing body and complete traceable records matter","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a no. 6; Beurteilungskriterien CTU","LEVEL 1 + LEVEL 3","MPU_FACHREVIEW","CTU reviewer confirm"
"/abstinenznachweis/","Planning errors","Single tests should not be confused with a suitable controlled program","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a no. 6; Beurteilungskriterien CTU","LEVEL 1 + LEVEL 3","MPU_FACHREVIEW","Retain after review"
"/abstinenznachweis/","Planning errors","Universal periods from other cases are unsafe","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien CTU","LEVEL 3","MPU_FACHREVIEW","Retain as non-prescriptive warning"
"/abstinenznachweis/","FAQ self-tests","Self-tests do not replace a professionally controlled documented program","SUPPORTED_BUT_REVIEW_REQUIRED","FeV Anlage 4a no. 6","LEVEL 1","MPU_FACHREVIEW","CTU reviewer approve"
"/abstinenznachweis/","FAQ methods","Hair and urine evidence are not automatically interchangeable","SUPPORTED_BUT_REVIEW_REQUIRED","Beurteilungskriterien CTU","LEVEL 3","MPU_FACHREVIEW","CTU reviewer approve"
"/mpu-begutachtungsstelle/","Introduction","A BfF conducts the medical-psychological examination and creates a report for the authority question","SUPPORTED_BUT_REVIEW_REQUIRED","FeV §11; Anlage 4a","LEVEL 1","MPU_FACHREVIEW; LEGAL_REVIEW","Retain after dual review"
"/mpu-begutachtungsstelle/","Recognition","Providers and centers require official recognition under §66 FeV","SUPPORTED","FeV §66","LEVEL 1","SOURCE_VERIFICATION","Retain"
"/mpu-begutachtungsstelle/","Recognition","Requirements include personnel, equipment, quality, tests and economic independence","SUPPORTED","FeV Anlage 14","LEVEL 1","SOURCE_VERIFICATION","Retain; ensure quality wording tracks current text"
"/mpu-begutachtungsstelle/","Choice","The authority names eligible centers and the person identifies the commissioned center","LEGAL_INTERPRETATION","FeV §11(6)","LEVEL 1","LEGAL_REVIEW","Legal reviewer confirm exact wording"
"/mpu-begutachtungsstelle/","Practical selection","Recognition, deadline, documents and authority notification should be checked","SUPPORTED_BUT_REVIEW_REQUIRED","FeV §11(6); §66","LEVEL 1","LEGAL_REVIEW; EDITORIAL_REVIEW","Retain as general checklist after legal review"
"/mpu-begutachtungsstelle/","File transfer","The authority sends complete usable records subject to statutory exclusion rules","LEGAL_INTERPRETATION","FeV §11(6)","LEVEL 1","LEGAL_REVIEW","Retain only after legal approval"
"/mpu-begutachtungsstelle/","File inspection","FeV describes a right to inspect the records to be sent","LEGAL_INTERPRETATION","FeV §11(6)","LEVEL 1","LEGAL_REVIEW","Confirm scope and procedural wording"
"/mpu-begutachtungsstelle/","Switching","Changing center can affect commission, file dispatch, appointment and deadline","SOURCE_MISSING","No explicit current source recorded","NONE","LEGAL_REVIEW; SOURCE_VERIFICATION","Source, qualify, or remove before approval"
"/mpu-begutachtungsstelle/","Differences","Recognized centers must meet common legal and professional baseline requirements","SUPPORTED","FeV §66; Anlage 14","LEVEL 1","SOURCE_VERIFICATION","Retain"
"/mpu-begutachtungsstelle/","Differences","Locations, scheduling, communication, accessibility, languages and costs may differ","EDITORIAL_ONLY","Observable provider attributes","EDITORIAL","EDITORIAL_REVIEW","Retain as neutral comparison criteria"
"/mpu-begutachtungsstelle/","Myths","A provider ranking alone does not establish easier outcomes","SOURCE_MISSING","No outcome-comparison evidence recorded","NONE","SOURCE_VERIFICATION; EDITORIAL_REVIEW","Keep qualified or remove claim of evidentiary insufficiency"
"/mpu-begutachtungsstelle/","Myths","The authority supplies the question; the assessment center does not order the MPU","SUPPORTED_BUT_REVIEW_REQUIRED","FeV §11(6)","LEVEL 1","LEGAL_REVIEW","Retain after legal review"
"/mpu-begutachtungsstelle/","Role separation","Preparation and assessment are subject to separation and independence requirements","SUPPORTED","FeV Anlage 4a no. 5; Anlage 14 no. 6 and 10","LEVEL 1","LEGAL_REVIEW; SOURCE_VERIFICATION","Retain after legal check"
"/mpu-begutachtungsstelle/","FAQ recognition","An officially recognized BfF is prescribed for a medical-psychological report under §11(3)","SUPPORTED","FeV §11(3); §66","LEVEL 1","LEGAL_REVIEW; SOURCE_VERIFICATION","Retain after legal check"
"/mpu-begutachtungsstelle/","FAQ records","Records go to the commissioned center and the person has an inspection right for records to be sent","LEGAL_INTERPRETATION","FeV §11(6)","LEVEL 1","LEGAL_REVIEW","Confirm exact procedural scope"
"/mpu-begutachtungsstelle/","FAQ nearest center","Accessibility, scheduling, communication, language and transparent costs can inform choice","EDITORIAL_ONLY","Neutral operational criteria","EDITORIAL","EDITORIAL_REVIEW","Retain"
"/mpu-begutachtungsstelle/","FAQ preparation sale","FeV contains role-separation and independence requirements","SUPPORTED","FeV Anlage 4a no. 5; Anlage 14 no. 6 and 10","LEVEL 1","LEGAL_REVIEW","Retain after legal review; avoid case-specific conclusion"
